id,name,lat,lng,yelpstars,lastrating,rats,roaches,slime,fail,cuisine,weight
911782,"BRAEBURN COUNTRY CLUB",29.6772,-95.5206,5,1,1,1,1,1,,999
911787,"WHATABURGER #542",29.6754,-95.5439,5,1,1,1,1,1,"BURGERS, ETC.",999
911806,"PAPPAS BAR-B-Q",29.6749,-95.5517,5,1,1,1,1,1,BARBECUE,999
911811,"LEE'S SANDWICH",29.6772,-95.5529,5,2,1,1,1,1,SANDWICHES,999
911830,"JACK IN THE BOX #669",29.6744,-95.569,5,1,1,1,1,1,"BURGERS, ETC.",999
911844,"BOONE ELEMENTARY SCHOOL",29.6748,-95.5791,5,1,1,1,1,1,,999
911849,"AMERICA'S CHOICE",29.6751,-95.5863,5,1,1,1,1,1,,999
911868,"EXPRESS WOK",29.6769,-95.5984,5,1,1,1,1,1,,999
911898,"MEMORIAL CITY HEALTH CENTER",29.7939,-95.5234,5,1,1,1,1,1,,999
911900,"CREATIVE CARE CHILD CARE",29.8022,-95.5247,5,1,1,1,1,1,,999
911901,"RAGSDILL SCHOOL",29.8035,-95.5247,5,1,1,1,1,1,,999
911918,"PILGRIM UNITED CHURCH DAY CARE",29.7213,-95.3657,5,1,1,1,1,1,,999
911920,"BRIARGATE ELEMENTARY SCHOOL",29.5974,-95.4923,5,1,1,1,1,1,,999
911923,"BENBROOK ELEMENTARY SCHOOL",29.8268,-95.4811,5,1,1,1,1,1,,999
911929,"NEW JERUSALEM DAY CARE",29.8846,-95.4613,5,1,1,1,1,1,,999
911931,"CHANCELLOR ELEMENTARY SCHOOL",29.7101,-95.5762,5,1,1,1,1,1,,999
911944,"OLLE MIDDLE SCHOOL",29.6769,-95.5762,5,1,1,1,1,1,,999
911949,"JOHN WARD ELEMENTARY SCHOOL",29.5822,-95.1361,5,1,1,1,1,1,,999
911957,"SCROGGINS ELEMENTARY",29.7809,-95.2989,5,1,1,1,1,1,,999
911960,"PERSHING MIDDLE SCHOOL",29.5881,-95.4346,5,1,1,1,1,1,,999
911962,"BONHAM ELEMENTARY",29.6877,-95.5187,5,2,1,1,1,1,,999
911964,BELDENS,29.6791,-95.4779,5,1,1,1,1,1,,999
911972,"WALGREENS #553",29.6791,-95.4779,5,1,1,1,1,1,,999
911975,"SEVEN ACRES",29.6785,-95.5012,5,1,1,1,1,0,,999
911982,"THREE BROTHER'S BAKERY",29.6899,-95.4423,5,1,1,1,1,1,,999
911983,"BAYOU MANOR",29.6897,-95.445,5,1,1,1,1,1,,999
911985,"OLD HICKORY INN",29.6757,-95.4782,5,1,1,1,1,1,BARBECUE,999
911988,"JEWISH COMMUNITY CENTER",29.674,-95.4834,5,1,1,1,1,1,,999
911990,"MCDONALD'S # 3336",29.6774,-95.4941,5,1,1,1,1,1,"BURGERS, ETC.",999
911992,"FONDREN MIDDLE SCHOOL",29.675,-95.5041,5,1,1,1,1,1,,999
