id,name,date,lat,lng,cuisine,status,score,site,weight,rats,bugs,slime,condemned
421521,"SKYLINE  HOUSTON DELI","2014-03-27 00:00:00",29.7454,-95.4626,DELI,PASS,1,ESTABLISHMENT,3,0,0,0,0
421525,"PHO THY","2014-03-14 00:00:00",29.6116,-95.2246,VIETNAMESE,PASS,2,KITCHEN,5,0,0,0,0
421527,"TEJAS FOOD SERVICE - Mobile Caterers","2013-10-29 00:00:00",29.6811,-95.534,,,1,"7411 PARK PLACE",2,0,0,0,0
421537,"CHILDREN'S STUDIO OF STARS","2013-07-18 00:00:00",29.8394,-95.4731,,PASS,1,0,3,0,0,0,0
421540,"PALETERIA LA FAVORITA","2014-03-20 00:00:00",29.6786,-95.554,,PASS,1,"7411 PARK PLACE",1,0,0,0,0
421542,"THE LITTLEST ONES","2014-03-12 00:00:00",29.6622,-95.3839,,PASS,1,0,2,0,0,0,0
421544,"PAK N GO","2014-03-11 00:00:00",29.6468,-95.2082,,PASS,3,0,15,0,0,0,0
421552,SALATA,"2013-12-21 00:00:00",29.7369,-95.5686,SALADS,PASS,2,"TOTAL ESTABLISHMENT",6,0,0,0,0
421555,"TAQUERIA SHECCID - SOUTHWEST","2013-12-04 00:00:00",29.7152,-95.4926,,FAIL,3,"1330 ANTOINE DR 77055 (MON-SAT / 7A-10P)",11,0,0,0,1
421556,"ENCHILUDAS MEXICAN CAFE","2014-03-31 00:00:00",29.7348,-95.6374,"MEXICAN / HISPANIC",PASS,2,ESTABLISHMENT,6,0,0,0,0
421560,"MAGIC GAMEROOM","2014-03-05 00:00:00",29.6554,-95.5704,,PASS,1,0,1,0,0,0,0
421564,"STOP N BUY FOOD STORE","2014-04-03 00:00:00",29.8787,-95.4995,,PASS,3,STORE,13,0,0,0,0
421565,"MONOPOLY AMUSEMENT","2014-03-03 00:00:00",29.6551,-95.5693,,PASS,1,0,1,0,0,0,0
421568,"ESQUISITA COMIDA HONDURENA - Texas Commissary","2014-01-31 00:00:00",29.7763,-95.217,,FAIL,5,"717 MAXEY RD 77013 (THURS-TUES / 8A-2A)",29,0,0,0,0
421569,RAL'S,"2014-03-11 00:00:00",29.7084,-95.5198,,PASS,1,ESTABLISHMENT,1,0,0,0,0
421576,"LOS PRIMOS","2014-03-18 00:00:00",29.6794,-95.229,,,0,0,1,0,0,0,0
421580,"PHO  DIEN","2013-09-19 00:00:00",29.7043,-95.5874,VIETNAMESE,PASS,3,"Total Establishment",9,0,0,0,0
421589,"COPPA OSTERIA","2014-02-16 00:00:00",29.7188,-95.415,ITALIAN,PASS,1,Kithen,4,0,0,0,0
421593,"GIFT FOR FUN","2014-03-25 00:00:00",29.6996,-95.2867,,PASS,1,0,1,0,0,0,0
421596,"TAQUERIA DON JUAN","2013-12-26 00:00:00",29.8704,-95.3789,,PASS,1,Kitchen,1,0,0,0,0
421597,"A A WESTHEIMER","2014-03-28 00:00:00",29.7423,-95.411,,PASS,2,0,6,0,0,0,0
421599,"MARIANA'S TAQUERIA - Palacios","2013-12-09 00:00:00",29.679,-95.3169,,FAIL,5,"6307 DIXIE DR 77075 (MON-SAT / 8A-11P)",27,0,0,0,0
421601,"VITAS INNOVATIVE HOSPICE CARE","2014-01-16 00:00:00",29.6744,-95.5292,,PASS,2,"NURSING STATION",5,0,0,0,0
421605,"ALEXANDER MARTINEZ PRODUCE","2014-03-20 00:00:00",29.697,-95.4877,,PASS,2,0,7,0,0,0,0
421608,"STAR BAKERY","2014-04-12 00:00:00",29.6527,-95.5547,,FAIL,4,ESTABLISHMENT,2,0,0,0,0
421612,"THE DECK HOUSE BAR & GRILL","2014-02-25 00:00:00",29.7302,-95.4806,,PASS,1,KITCHEN,3,0,0,0,0
421613,STRIPES,"2013-08-29 00:00:00",29.9294,-95.3312,,PASS,1,0,1,0,0,0,0
421630,"BONFIRE WINGS","2013-08-09 00:00:00",29.7358,-95.5986,CHICKEN,PASS,1,ESTABLISHMENT,3,0,0,0,0
421633,"THE FEDERAL GRILL","2013-11-25 00:00:00",29.767,-95.409,"LOCAL / CONTINENTAL",PASS,1,ESTABLISHMENT,1,0,0,0,0
421634,SUBROC,"2014-04-14 00:00:00",29.7391,-95.4737,DELI,PASS,1,ESTABLISHMENT,2,0,0,0,0
421641,"BELLISIMO CREATE YOUR OWN PIZZA OR PASTA LLC","2014-03-20 00:00:00",29.8046,-95.3815,ITALIAN,PASS,1,"Total Establishment",2,0,0,0,0
421642,"SRI BALAJI BHAVAN FAST FOOD","2013-11-15 00:00:00",29.7218,-95.5011,"INDIAN / PAKISTANI",PASS,1,Establishment,3,0,0,0,0
421644,"KWIK FOOD MART","2014-02-27 00:00:00",29.614,-95.4274,,PASS,1,0,3,0,0,0,0
